client,content_hash_id,rank_in_client,risk_score,reason_category,avg_position_weighted,ctr,impressions_90d,clicks_90d,days_since_last_update
Client A,content_1a0deb84d39a1d2f,1,0.9188211089587633,visible_low_ctr,5.568047337278107,0.0,507.0,0.0,64
Client A,content_d0e8885af33cdaad,2,0.908426892689421,visible_low_ctr,2.587435633367662,0.0,4855.0,0.0,62
Client A,content_47cc8417230ebb89,3,0.8986585467004935,visible_low_ctr,6.620196604110813,0.0,1119.0,0.0,64
Client A,content_8aedc6778d6ece9f,4,0.8952957792090149,visible_low_ctr,6.784246575342466,0.0,292.0,0.0,64
Client A,content_5963303ca1ded287,5,0.892763636319958,visible_low_ctr,2.239010989010989,0.0,728.0,0.0,64
Client A,content_82dbc3a80a7ffa28,6,0.8925646030455991,no_dominant_driver,2.187135720233139,0.0006244796003330558,4804.0,3.0,62
Client A,content_b244de248a0a6095,7,0.890159647391285,visible_low_ctr,4.41542288557214,0.0,402.0,0.0,64
Client A,content_3ef4870f4cedbfb0,8,0.8870954335975921,no_dominant_driver,1.8822204557498674,0.0005299417064122947,7548.0,4.0,62
Client A,content_220194af532c3036,9,0.8766307828063532,visible_low_ctr,7.09,0.0,500.0,0.0,62
Client A,content_ec8a27fcf8f872b6,10,0.8760288034540522,visible_low_ctr,7.568024596464258,0.0,2602.0,0.0,64
Client B,content_302ec4da585c050e,1,0.7252615932433474,no_dominant_driver,8.078889700511322,0.002191380569758948,1369.0,3.0,65
Client B,content_a938a01820c92489,2,0.7096723368995976,low_ctr,3.5575539568345325,0.0,556.0,0.0,65
Client B,content_cd730373633f79b7,3,0.6875758426582572,no_dominant_driver,14.664473684210526,0.001644736842105263,1216.0,2.0,65
Client B,content_23a31d3a5040353b,4,0.6863978587929457,ranks_deep,18.366876310272538,0.0020964360587002098,477.0,1.0,65
Client B,content_9fcaa08190428df1,5,0.671252120296695,ranks_deep,26.529933481152995,0.0022172949002217295,902.0,2.0,65
Client B,content_94cd7886ee90b5e0,6,0.6592654593667722,low_ctr,11.72805933250927,0.0,809.0,0.0,65
Client B,content_a40db61d6711fcd5,7,0.6477347780566227,ranks_deep,23.438090502237692,0.000994530084535057,2011.0,2.0,65
Client B,content_dfa55ff1b1c7ab00,8,0.6343204131946396,no_dominant_driver,2.548152634766808,0.0036341611144760752,1651.0,6.0,65
Client B,content_9eeba1f980fd7436,9,0.6324348776236546,low_ctr,3.9359477124183004,0.0,765.0,0.0,65
Client B,content_7e11d27a24be81c3,10,0.6281443190391451,visible_low_ctr,10.946192893401015,0.0,985.0,0.0,65
Client C,content_d58f9834ef48e26e,1,0.6130675230545911,visible_low_ctr,8.585185185185185,0.0,405.0,0.0,64
Client C,content_12add63b3ca36b9b,2,0.4560137468617507,ranks_deep,33.178082191780824,0.0136986301369863,73.0,1.0,64
Client D,content_63067b7ce812c127,1,0.8696902451780388,visible_low_ctr,21.698529411764707,0.0,136.0,0.0,64
Client D,content_9dbd567309d52247,2,0.8112864177880202,ranks_deep+visible_low_ctr,40.34108527131783,0.0,129.0,0.0,64
Client D,content_0ab9ee4bc2a32e5c,3,0.8058265376405035,no_dominant_driver,16.897058823529413,0.014705882352941176,68.0,1.0,64
Client D,content_ba2589804e4ecdb4,4,0.7877771642406871,ranks_deep+low_ctr,44.54761904761905,0.0,42.0,0.0,64
Client D,content_961d1fa2b7392c15,5,0.7876585693111499,ranks_deep+low_ctr,42.523809523809526,0.0,21.0,0.0,64
Client D,content_246c26b8244ac08a,6,0.7615136947481974,no_dominant_driver,14.576517150395778,0.002638522427440633,758.0,2.0,64
Client D,content_5596a5e226d25469,7,0.6670307876860678,no_dominant_driver,19.489884393063583,0.001445086705202312,692.0,1.0,64
Client D,content_6c780b3761989877,8,0.6540660805758177,low_ctr,17.428571428571427,0.0,14.0,0.0,64
